bib,name,status,category,sex,country,St Paul,Ecole  Bel,Ilet Savan,Ratinaud,Possession,Chaloupe,Colorado,La Vigie,St Denis
7455,Anne Marie JOHN,FINISHER,SE F,FEMALE,MU,2025-10-18T06:38:00.000+04:00,2025-10-18T07:19:31.000+04:00,2025-10-18T08:11:55.000+04:00,2025-10-18T09:21:48.000+04:00,2025-10-18T10:27:44.000+04:00,2025-10-18T11:32:17.000+04:00,2025-10-18T13:01:03.000+04:00,2025-10-18T13:24:31.000+04:00,2025-10-18T13:44:39.000+04:00
7405,Willy EMMA,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:16:44.000+04:00,2025-10-18T08:06:44.000+04:00,2025-10-18T09:11:49.000+04:00,2025-10-18T10:14:47.000+04:00,2025-10-18T11:22:44.000+04:00,2025-10-18T12:55:50.000+04:00,2025-10-18T13:22:34.000+04:00,2025-10-18T13:46:06.000+04:00
7512,Patrick JABERG,FINISHER,M2 H,MALE,CH,2025-10-18T06:38:00.000+04:00,2025-10-18T07:14:42.000+04:00,2025-10-18T08:00:51.000+04:00,2025-10-18T09:02:16.000+04:00,2025-10-18T10:08:44.000+04:00,2025-10-18T11:16:13.000+04:00,2025-10-18T12:56:11.000+04:00,2025-10-18T13:23:14.000+04:00,2025-10-18T13:47:50.000+04:00
7593,Loïc TOULCANON,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:17:13.000+04:00,2025-10-18T08:07:47.000+04:00,2025-10-18T09:18:08.000+04:00,2025-10-18T10:27:14.000+04:00,2025-10-18T11:30:43.000+04:00,2025-10-18T13:04:10.000+04:00,2025-10-18T13:30:44.000+04:00,2025-10-18T13:52:20.000+04:00
7005,Benoit MARC,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:51.000+04:00,2025-10-18T08:17:26.000+04:00,2025-10-18T09:26:07.000+04:00,2025-10-18T10:36:33.000+04:00,2025-10-18T11:41:54.000+04:00,2025-10-18T13:08:38.000+04:00,2025-10-18T13:32:37.000+04:00,2025-10-18T13:54:37.000+04:00
7531,Lucie TRAISSAC,FINISHER,SE F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:20:28.000+04:00,2025-10-18T08:10:37.000+04:00,2025-10-18T09:20:34.000+04:00,2025-10-18T10:26:48.000+04:00,2025-10-18T11:36:26.000+04:00,2025-10-18T13:14:08.000+04:00,2025-10-18T13:39:28.000+04:00,2025-10-18T14:00:51.000+04:00
7500,Nicolas CHARRETIER,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:14:18.000+04:00,2025-10-18T08:02:25.000+04:00,2025-10-18T09:13:54.000+04:00,2025-10-18T10:23:52.000+04:00,2025-10-18T11:35:16.000+04:00,2025-10-18T13:18:59.000+04:00,2025-10-18T13:42:51.000+04:00,2025-10-18T14:03:33.000+04:00
7028,Mathis GUINCHE,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:12:10.000+04:00,2025-10-18T07:59:49.000+04:00,2025-10-18T09:09:07.000+04:00,2025-10-18T10:20:22.000+04:00,2025-10-18T11:35:25.000+04:00,2025-10-18T13:11:05.000+04:00,2025-10-18T13:40:11.000+04:00,2025-10-18T14:05:01.000+04:00
7576,Hugo CORTEN,FINISHER,SE H,MALE,BE,2025-10-18T06:38:00.000+04:00,2025-10-18T07:19:49.000+04:00,2025-10-18T08:11:00.000+04:00,2025-10-18T09:26:52.000+04:00,2025-10-18T10:38:14.000+04:00,2025-10-18T11:42:29.000+04:00,2025-10-18T13:16:58.000+04:00,2025-10-18T13:41:32.000+04:00,2025-10-18T14:05:14.000+04:00
7081,Jean Stéphane NARBÉ,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:15:13.000+04:00,2025-10-18T08:04:22.000+04:00,2025-10-18T09:09:13.000+04:00,2025-10-18T10:21:37.000+04:00,2025-10-18T11:38:13.000+04:00,2025-10-18T13:18:20.000+04:00,2025-10-18T13:43:58.000+04:00,2025-10-18T14:05:53.000+04:00
7470,Pierre ESTEVIN,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:15:57.000+04:00,2025-10-18T08:06:42.000+04:00,2025-10-18T09:18:06.000+04:00,2025-10-18T10:30:35.000+04:00,2025-10-18T11:41:57.000+04:00,2025-10-18T13:14:56.000+04:00,2025-10-18T13:41:22.000+04:00,2025-10-18T14:07:01.000+04:00
7468,Guillaume SCHLIFFER,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:17:20.000+04:00,2025-10-18T08:08:49.000+04:00,2025-10-18T09:21:40.000+04:00,2025-10-18T10:34:59.000+04:00,2025-10-18T11:54:45.000+04:00,2025-10-18T13:21:26.000+04:00,2025-10-18T13:45:47.000+04:00,2025-10-18T14:08:59.000+04:00
7220,Patrice MICHEL,FINISHER,M4 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:16:51.000+04:00,2025-10-18T08:06:34.000+04:00,2025-10-18T09:19:33.000+04:00,2025-10-18T10:34:28.000+04:00,2025-10-18T11:41:29.000+04:00,2025-10-18T13:21:41.000+04:00,2025-10-18T13:46:41.000+04:00,2025-10-18T14:11:23.000+04:00
7358,Darry DEPECHE,FINISHER,M2 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:17:16.000+04:00,2025-10-18T08:07:48.000+04:00,2025-10-18T09:24:26.000+04:00,2025-10-18T10:42:03.000+04:00,2025-10-18T11:52:50.000+04:00,2025-10-18T13:31:06.000+04:00,2025-10-18T13:56:58.000+04:00,2025-10-18T14:19:09.000+04:00
7024,Miora RAZANAKOLONA,FINISHER,SE F,FEMALE,MG,2025-10-18T06:38:00.000+04:00,2025-10-18T07:20:48.000+04:00,2025-10-18T08:15:54.000+04:00,2025-10-18T09:31:53.000+04:00,2025-10-18T10:48:07.000+04:00,2025-10-18T11:54:51.000+04:00,2025-10-18T13:31:24.000+04:00,2025-10-18T13:57:22.000+04:00,2025-10-18T14:19:41.000+04:00
7627,Christophe WAI-LUNE,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:19:17.000+04:00,2025-10-18T08:09:52.000+04:00,2025-10-18T09:25:26.000+04:00,2025-10-18T10:39:44.000+04:00,2025-10-18T11:54:20.000+04:00,2025-10-18T13:35:31.000+04:00,2025-10-18T14:00:18.000+04:00,2025-10-18T14:21:47.000+04:00
7349,Romain JAMET,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:23:34.000+04:00,2025-10-18T08:20:05.000+04:00,2025-10-18T09:31:52.000+04:00,2025-10-18T10:45:15.000+04:00,2025-10-18T11:56:44.000+04:00,2025-10-18T13:35:26.000+04:00,2025-10-18T14:01:19.000+04:00,2025-10-18T14:22:58.000+04:00
7035,Franck RUPERT,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:16:57.000+04:00,2025-10-18T08:06:05.000+04:00,2025-10-18T09:19:44.000+04:00,2025-10-18T10:30:24.000+04:00,2025-10-18T11:43:26.000+04:00,2025-10-18T13:32:43.000+04:00,2025-10-18T14:00:40.000+04:00,2025-10-18T14:23:32.000+04:00
7339,Brice GAUTHIER,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:30.000+04:00,2025-10-18T08:17:29.000+04:00,2025-10-18T09:32:03.000+04:00,2025-10-18T10:55:53.000+04:00,2025-10-18T12:00:06.000+04:00,2025-10-18T13:37:46.000+04:00,2025-10-18T14:05:01.000+04:00,2025-10-18T14:30:17.000+04:00
7585,Melvin BERTHELIER,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:17.000+04:00,2025-10-18T08:16:18.000+04:00,2025-10-18T09:31:44.000+04:00,2025-10-18T10:45:15.000+04:00,2025-10-18T11:54:56.000+04:00,2025-10-18T13:38:23.000+04:00,2025-10-18T14:04:44.000+04:00,2025-10-18T14:30:32.000+04:00
7615,Ludivine RABUEL,FINISHER,SE F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:23:15.000+04:00,2025-10-18T08:18:06.000+04:00,2025-10-18T09:32:32.000+04:00,2025-10-18T10:48:08.000+04:00,2025-10-18T11:58:47.000+04:00,2025-10-18T13:35:38.000+04:00,2025-10-18T14:02:26.000+04:00,2025-10-18T14:31:07.000+04:00
7572,Emma METRO,FINISHER,M0 F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:19:10.000+04:00,2025-10-18T08:11:20.000+04:00,2025-10-18T09:37:48.000+04:00,2025-10-18T11:04:26.000+04:00,2025-10-18T12:10:40.000+04:00,2025-10-18T13:41:19.000+04:00,2025-10-18T14:06:56.000+04:00,2025-10-18T14:32:27.000+04:00
7158,Yassin KOO PIN HIN,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:18:27.000+04:00,2025-10-18T08:12:55.000+04:00,2025-10-18T09:24:03.000+04:00,2025-10-18T10:45:36.000+04:00,2025-10-18T12:07:36.000+04:00,2025-10-18T13:45:58.000+04:00,2025-10-18T14:15:03.000+04:00,2025-10-18T14:39:24.000+04:00
7581,Antoine Luc ROBERT,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:17:40.000+04:00,2025-10-18T08:06:13.000+04:00,2025-10-18T09:25:15.000+04:00,2025-10-18T10:45:55.000+04:00,2025-10-18T11:57:17.000+04:00,2025-10-18T13:42:22.000+04:00,2025-10-18T14:14:24.000+04:00,2025-10-18T14:40:37.000+04:00
7017,Nambinintsoa RAVAOARISOA,FINISHER,SE F,FEMALE,MG,2025-10-18T06:38:00.000+04:00,2025-10-18T07:25:00.000+04:00,2025-10-18T08:21:46.000+04:00,2025-10-18T09:41:18.000+04:00,2025-10-18T10:52:00.000+04:00,2025-10-18T12:02:26.000+04:00,2025-10-18T13:53:38.000+04:00,2025-10-18T14:21:29.000+04:00,2025-10-18T14:45:13.000+04:00
7518,Yohan PATCHÉ,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:23.000+04:00,2025-10-18T08:15:56.000+04:00,2025-10-18T09:32:01.000+04:00,2025-10-18T10:49:19.000+04:00,2025-10-18T12:04:15.000+04:00,2025-10-18T13:50:37.000+04:00,2025-10-18T14:21:31.000+04:00,2025-10-18T14:45:14.000+04:00
7282,Anthony MONNIN,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:16:03.000+04:00,2025-10-18T08:05:39.000+04:00,2025-10-18T09:16:39.000+04:00,2025-10-18T10:34:58.000+04:00,2025-10-18T11:54:58.000+04:00,2025-10-18T13:46:36.000+04:00,2025-10-18T14:18:06.000+04:00,2025-10-18T14:50:03.000+04:00
7113,Cedric JULLIAN,FINISHER,M2 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:24:40.000+04:00,2025-10-18T08:22:37.000+04:00,2025-10-18T09:37:59.000+04:00,2025-10-18T11:03:56.000+04:00,2025-10-18T12:11:59.000+04:00,2025-10-18T13:56:51.000+04:00,2025-10-18T14:28:59.000+04:00,2025-10-18T14:53:13.000+04:00
7099,Sébastien TONGHINI,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:20:51.000+04:00,2025-10-18T08:16:55.000+04:00,2025-10-18T09:49:02.000+04:00,2025-10-18T11:11:33.000+04:00,2025-10-18T12:23:14.000+04:00,2025-10-18T14:00:34.000+04:00,2025-10-18T14:27:24.000+04:00,2025-10-18T14:53:26.000+04:00
7077,Romain WEIL,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:25:55.000+04:00,2025-10-18T08:22:42.000+04:00,2025-10-18T09:44:44.000+04:00,2025-10-18T11:01:25.000+04:00,2025-10-18T12:20:52.000+04:00,2025-10-18T14:06:01.000+04:00,2025-10-18T14:31:33.000+04:00,2025-10-18T14:58:13.000+04:00
7476,Korentin GUEZENEC,FINISHER,M0 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:28:20.000+04:00,2025-10-18T08:27:01.000+04:00,2025-10-18T09:51:00.000+04:00,2025-10-18T11:13:58.000+04:00,2025-10-18T12:30:39.000+04:00,2025-10-18T14:10:45.000+04:00,2025-10-18T14:34:46.000+04:00,2025-10-18T14:58:28.000+04:00
7545,Jimmy Marc PAYET,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:17.000+04:00,2025-10-18T08:20:43.000+04:00,2025-10-18T09:47:54.000+04:00,2025-10-18T11:00:15.000+04:00,2025-10-18T12:25:51.000+04:00,2025-10-18T14:08:39.000+04:00,2025-10-18T14:37:47.000+04:00,2025-10-18T14:59:40.000+04:00
7243,Mael PICARD,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:27:33.000+04:00,2025-10-18T08:26:56.000+04:00,2025-10-18T09:40:40.000+04:00,2025-10-18T10:58:48.000+04:00,2025-10-18T12:12:31.000+04:00,2025-10-18T14:01:22.000+04:00,2025-10-18T14:35:28.000+04:00,2025-10-18T15:01:19.000+04:00
7272,Laurent GRONDIN,FINISHER,M2 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:21:21.000+04:00,2025-10-18T08:16:41.000+04:00,2025-10-18T09:37:39.000+04:00,2025-10-18T10:54:19.000+04:00,2025-10-18T12:24:35.000+04:00,2025-10-18T14:10:26.000+04:00,2025-10-18T14:37:35.000+04:00,2025-10-18T15:02:44.000+04:00
7596,Martin COUSSEAU,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:20.000+04:00,2025-10-18T08:16:15.000+04:00,2025-10-18T09:38:56.000+04:00,2025-10-18T11:05:47.000+04:00,2025-10-18T12:28:54.000+04:00,2025-10-18T14:12:13.000+04:00,2025-10-18T14:43:40.000+04:00,2025-10-18T15:05:56.000+04:00
7465,Sébastien FILLATRE,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:17:25.000+04:00,2025-10-18T08:07:03.000+04:00,2025-10-18T09:25:41.000+04:00,2025-10-18T10:45:49.000+04:00,2025-10-18T12:07:21.000+04:00,2025-10-18T13:58:53.000+04:00,2025-10-18T14:37:50.000+04:00,2025-10-18T15:06:04.000+04:00
7242,Yann GRANGER-VEYRON,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:24:11.000+04:00,2025-10-18T08:23:15.000+04:00,2025-10-18T09:42:43.000+04:00,2025-10-18T11:10:05.000+04:00,2025-10-18T12:25:22.000+04:00,2025-10-18T14:10:31.000+04:00,2025-10-18T14:40:43.000+04:00,2025-10-18T15:08:44.000+04:00
7084,Pascal FORTIN,FINISHER,M4 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:23:11.000+04:00,2025-10-18T08:21:02.000+04:00,2025-10-18T09:37:57.000+04:00,2025-10-18T10:54:25.000+04:00,2025-10-18T12:18:32.000+04:00,2025-10-18T14:18:23.000+04:00,2025-10-18T14:49:43.000+04:00,2025-10-18T15:16:42.000+04:00
7283,Claude GRONDIN,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:25:50.000+04:00,2025-10-18T08:23:22.000+04:00,2025-10-18T09:41:05.000+04:00,2025-10-18T11:02:33.000+04:00,2025-10-18T12:24:17.000+04:00,2025-10-18T14:15:21.000+04:00,2025-10-18T14:49:48.000+04:00,2025-10-18T15:17:01.000+04:00
7575,François ADANT,FINISHER,M0 H,MALE,BE,2025-10-18T06:38:00.000+04:00,2025-10-18T07:24:49.000+04:00,2025-10-18T08:26:45.000+04:00,2025-10-18T09:46:36.000+04:00,2025-10-18T11:04:43.000+04:00,2025-10-18T12:31:33.000+04:00,2025-10-18T14:23:23.000+04:00,2025-10-18T14:53:12.000+04:00,2025-10-18T15:21:20.000+04:00
7144,Lionel GAUDILLERE,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:26:02.000+04:00,2025-10-18T08:23:27.000+04:00,2025-10-18T09:48:34.000+04:00,2025-10-18T11:24:19.000+04:00,2025-10-18T12:42:11.000+04:00,2025-10-18T14:29:40.000+04:00,2025-10-18T14:58:37.000+04:00,2025-10-18T15:22:24.000+04:00
7483,Caroline CHEUL,FINISHER,M3 F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:26:23.000+04:00,2025-10-18T08:27:31.000+04:00,2025-10-18T09:55:32.000+04:00,2025-10-18T11:14:12.000+04:00,2025-10-18T12:40:24.000+04:00,2025-10-18T14:29:09.000+04:00,2025-10-18T15:00:15.000+04:00,2025-10-18T15:24:54.000+04:00
7499,Bertrand SERY,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:21:25.000+04:00,2025-10-18T08:17:44.000+04:00,2025-10-18T09:44:20.000+04:00,2025-10-18T11:06:48.000+04:00,2025-10-18T12:24:15.000+04:00,2025-10-18T14:26:43.000+04:00,2025-10-18T15:00:40.000+04:00,2025-10-18T15:25:19.000+04:00
7336,Johnny RIVIERE,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:15.000+04:00,2025-10-18T08:25:38.000+04:00,2025-10-18T09:51:51.000+04:00,2025-10-18T11:18:34.000+04:00,2025-10-18T12:42:28.000+04:00,2025-10-18T14:32:14.000+04:00,2025-10-18T15:02:35.000+04:00,2025-10-18T15:26:10.000+04:00
7061,Manuella SERY,FINISHER,M2 F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:25:28.000+04:00,2025-10-18T08:25:05.000+04:00,2025-10-18T09:50:56.000+04:00,2025-10-18T11:17:51.000+04:00,2025-10-18T12:42:42.000+04:00,2025-10-18T14:31:37.000+04:00,2025-10-18T15:00:28.000+04:00,2025-10-18T15:27:14.000+04:00
7550,Ismael MONFORT,FINISHER,ES H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:25:08.000+04:00,2025-10-18T08:33:29.000+04:00,2025-10-18T09:49:57.000+04:00,2025-10-18T11:19:39.000+04:00,2025-10-18T12:41:00.000+04:00,2025-10-18T14:28:07.000+04:00,2025-10-18T15:00:30.000+04:00,2025-10-18T15:27:27.000+04:00
7509,Andrea HASLEBACHER,FINISHER,M2 F,FEMALE,CH,2025-10-18T06:38:00.000+04:00,2025-10-18T07:26:55.000+04:00,2025-10-18T08:32:32.000+04:00,2025-10-18T10:04:51.000+04:00,2025-10-18T11:32:46.000+04:00,2025-10-18T12:55:19.000+04:00,2025-10-18T14:33:43.000+04:00,2025-10-18T14:59:41.000+04:00,2025-10-18T15:27:47.000+04:00
7270,William SERCOMBE,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:27:38.000+04:00,2025-10-18T08:32:00.000+04:00,2025-10-18T09:55:48.000+04:00,2025-10-18T11:26:56.000+04:00,2025-10-18T12:45:21.000+04:00,2025-10-18T14:37:13.000+04:00,2025-10-18T15:05:12.000+04:00,2025-10-18T15:31:01.000+04:00
7414,Alix Freddy ROCHEFEUILLE,FINISHER,M2 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:23:17.000+04:00,2025-10-18T08:18:11.000+04:00,2025-10-18T09:43:41.000+04:00,2025-10-18T11:11:36.000+04:00,2025-10-18T12:39:45.000+04:00,2025-10-18T14:37:28.000+04:00,2025-10-18T15:11:08.000+04:00,2025-10-18T15:32:55.000+04:00
7522,Tony LAMONGE,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:13.000+04:00,2025-10-18T08:24:34.000+04:00,2025-10-18T09:55:36.000+04:00,2025-10-18T11:19:44.000+04:00,2025-10-18T12:41:52.000+04:00,2025-10-18T14:31:54.000+04:00,2025-10-18T15:05:09.000+04:00,2025-10-18T15:32:58.000+04:00
7157,Maxence MALVOISIN,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:24.000+04:00,2025-10-18T08:15:53.000+04:00,2025-10-18T09:31:47.000+04:00,2025-10-18T10:52:51.000+04:00,2025-10-18T12:11:40.000+04:00,2025-10-18T14:22:40.000+04:00,2025-10-18T15:02:58.000+04:00,2025-10-18T15:33:19.000+04:00
7312,Gilbert BAUDOIN,FINISHER,M1 H,MALE,MU,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:55.000+04:00,2025-10-18T08:20:58.000+04:00,2025-10-18T09:46:28.000+04:00,2025-10-18T11:16:12.000+04:00,2025-10-18T12:41:13.000+04:00,2025-10-18T14:36:27.000+04:00,2025-10-18T15:10:23.000+04:00,2025-10-18T15:33:34.000+04:00
7491,Christopher Hélio Mickaël PARIS,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:16.000+04:00,2025-10-18T08:18:15.000+04:00,2025-10-18T09:38:01.000+04:00,2025-10-18T10:55:30.000+04:00,2025-10-18T12:32:50.000+04:00,2025-10-18T14:29:29.000+04:00,2025-10-18T15:04:35.000+04:00,2025-10-18T15:34:52.000+04:00
7267,Laurent AMPLE,FINISHER,M3 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:24:35.000+04:00,2025-10-18T08:26:09.000+04:00,2025-10-18T09:56:57.000+04:00,2025-10-18T11:24:45.000+04:00,2025-10-18T12:41:54.000+04:00,2025-10-18T14:34:53.000+04:00,2025-10-18T15:06:41.000+04:00,2025-10-18T15:35:38.000+04:00
7466,Remi MAUNIER,FINISHER,M1 H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:28:22.000+04:00,2025-10-18T08:32:50.000+04:00,2025-10-18T09:59:16.000+04:00,2025-10-18T11:22:39.000+04:00,2025-10-18T12:42:13.000+04:00,2025-10-18T14:36:30.000+04:00,2025-10-18T15:09:34.000+04:00,2025-10-18T15:35:48.000+04:00
7240,Gaëlle JANSSENS,FINISHER,SE F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:22:28.000+04:00,2025-10-18T08:20:46.000+04:00,2025-10-18T09:44:09.000+04:00,2025-10-18T11:13:25.000+04:00,2025-10-18T12:41:11.000+04:00,2025-10-18T14:31:49.000+04:00,2025-10-18T15:05:18.000+04:00,2025-10-18T15:35:57.000+04:00
7417,Marie PERSÉE,FINISHER,M3 F,FEMALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:29:07.000+04:00,2025-10-18T08:35:23.000+04:00,2025-10-18T10:09:25.000+04:00,2025-10-18T11:35:32.000+04:00,2025-10-18T12:51:26.000+04:00,2025-10-18T14:42:49.000+04:00,2025-10-18T15:11:30.000+04:00,2025-10-18T15:36:06.000+04:00
7231,Yoann RAMPHAN,FINISHER,SE H,MALE,FR,2025-10-18T06:38:00.000+04:00,2025-10-18T07:28:09.000+04:00,2025-10-18T08:33:35.000+04:00,2025-10-18T09:53:06.000+04:00,2025-10-18T11:21:52.000+04:00,2025-10-18T12:41:16.000+04:00,2025-10-18T14:38:28.000+04:00,2025-10-18T15:11:28.000+04:00,2025-10-18T15:36:08.000+04:00
